Code,Description
TT,"TEMP / TEMP SHIP / TEMP MOBIL"
UU,"PILOT / PILOT SHIP / PILOT MOBIL"
II,"TESAC"
AA,"FM 35 Part A (deprecated usage)"
BB,"FM 35 Part B (deprecated usage)"
CC,"FM 35 Part C (deprecated usage)"
DD,"FM 35 Part D (deprecated usage)"
